Dataset;4880;9760;14640;19520;24400;29280;34160;39040
accuracy; 88.75%;89.03%;90.30%;;;;;
kappa; 0.610;0.609;0.647;;;;;
weighted_mean_recall; 78.40%;77.57%;78.65%;;;;;
weighted_mean_precision; 83.27%;84.68%;88.20%;;;;;
spearman_rho; 0.615;0.618;0.662;;;;;
kendall_tau; 0.615;0.618;0.662;;;;;
absolute_error; 0.147 +/- 0.263;0.139 +/- 0.274;0.133 +/- 0.251;;;;;
relative_error; 14.68% +/- 26.34%;13.91% +/- 27.44%;13.31% +/- 25.14%;;;;;
relative_error_lenient; 14.68% +/- 26.34%;13.91% +/- 27.44%;13.31% +/- 25.14%;;;;;
relative_error_strict; 226.91% +/- 963.00%;274.31% +/- 1,074.70%;158.54% +/- 660.29%;;;;;
normalized_absolute_error; 0.765;0.725;0.693;;;;;
root_mean_squared_error; 0.302 +/- 0.000;0.308 +/- 0.000;0.284 +/- 0.000;;;;;
root_relative_squared_error;1.571;1.602;1.482;;;;;
squared_error; 0.091 +/- 0.240;0.095 +/- 0.259;0.081 +/- 0.230;;;;;
correlation; 0.615;0.618;0.662;;;;;
squared_correlation; 0.378;0.382;0.438;;;;;
cross-entropy; 0.472;0.502;0.412;;;;;
margin; 0.013;0.013;0.016;;;;;
soft_margin_loss; 0.147;0.139;0.133;;;;;
logistic_loss; 0.363;0.361;0.358;;;;;
