AUC,Threshold,False Positive Rate,True Positive Rate
0.8192371475953566,,,
,inf,0.0,0.0
,1.0,0.3383084577114428,0.9680851063829787
,0.875,0.3383084577114428,0.9692671394799054
,0.75,0.3383084577114428,0.9739952718676123
,0.625,0.34328358208955223,0.9739952718676123
,0.5,0.3582089552238806,0.975177304964539
,0.375,0.3781094527363184,0.9763593380614657
,0.25,0.39303482587064675,0.9799054373522459
,0.125,0.40298507462686567,0.983451536643026
,0.0,0.417910447761194,0.9846335697399528
,-0.125,1.0,1.0
