AUC,Threshold,False Positive Rate,True Positive Rate
0.8192371475953566,,,
,inf,0.0,0.0
,1.125,0.015366430260047281,0.582089552238806
,1.0,0.016548463356973995,0.5970149253731343
,0.875,0.02009456264775414,0.6069651741293532
,0.75,0.02364066193853428,0.6218905472636815
,0.625,0.024822695035460994,0.6417910447761194
,0.5,0.026004728132387706,0.6567164179104478
,0.375,0.026004728132387706,0.6616915422885572
,0.25,0.030732860520094562,0.6616915422885572
,0.125,0.031914893617021274,0.6616915422885572
,0.0,1.0,1.0
