AUC,Threshold,False Positive Rate,True Positive Rate
0.8226097644166874,,,
,inf,0.0,0.0
,1.0,0.31840796019900497,0.9491725768321513
,0.875,0.3333333333333333,0.9527186761229315
,0.75,0.3482587064676617,0.9574468085106383
,0.625,0.3482587064676617,0.9609929078014184
,0.5,0.36318407960199006,0.9633569739952719
,0.375,0.373134328358209,0.9645390070921985
,0.25,0.3880597014925373,0.9716312056737588
,0.125,0.39800995024875624,0.9775413711583925
,0.0,0.4228855721393035,0.9775413711583925
,-0.125,1.0,1.0
