AUC,Threshold,False Positive Rate,True Positive Rate
0.8226097644166872,,,
,inf,0.0,0.0
,1.125,0.022458628841607566,0.5771144278606966
,1.0,0.022458628841607566,0.6019900497512438
,0.875,0.028368794326241134,0.6119402985074627
,0.75,0.03546099290780142,0.6268656716417911
,0.625,0.03664302600472813,0.6368159203980099
,0.5,0.03900709219858156,0.6517412935323383
,0.375,0.0425531914893617,0.6517412935323383
,0.25,0.04728132387706856,0.6666666666666666
,0.125,0.0508274231678487,0.681592039800995
,0.0,1.0,1.0
